2012-07-14,Call Me Maybe,Carly Rae Jepsen
2012-07-07,Call Me Maybe,Carly Rae Jepsen
2012-06-30,Call Me Maybe,Carly Rae Jepsen
2012-06-23,Call Me Maybe,Carly Rae Jepsen
2012-06-16,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-06-09,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-06-02,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-05-26,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-05-19,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-05-12,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-05-05,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-04-28,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-04-21,We Are Young,fun. Featuring Janelle Monae
2012-04-14,We Are Young,fun. Featuring Janelle Monae
2012-04-07,We Are Young,fun. Featuring Janelle Monae
2012-03-31,We Are Young,fun. Featuring Janelle Monae
2012-03-24,We Are Young,fun. Featuring Janelle Monae
2012-03-17,We Are Young,fun. Featuring Janelle Monae
2012-03-10,Stronger (What Doesn't Kill You),Kelly Clarkson
2012-03-03,Part Of Me,Katy Perry
2012-02-25,Stronger (What Doesn't Kill You),Kelly Clarkson
2012-02-18,Stronger (What Doesn't Kill You),Kelly Clarkson
2012-02-11,Set Fire To The Rain,Adele
2012-02-04,Set Fire To The Rain,Adele
2012-01-28,We Found Love,Rihanna Featuring Calvin Harris
2012-01-21,We Found Love,Rihanna Featuring Calvin Harris
2012-01-14,Sexy And I Know It,LMFAO
2012-01-07,Sexy And I Know It,LMFAO
2011-12-31,We Found Love,Rihanna Featuring Calvin Harris
2011-12-24,We Found Love,Rihanna Featuring Calvin Harris
2011-12-17,We Found Love,Rihanna Featuring Calvin Harris
2011-12-10,We Found Love,Rihanna Featuring Calvin Harris
2011-12-03,We Found Love,Rihanna Featuring Calvin Harris
2011-11-26,We Found Love,Rihanna Featuring Calvin Harris
2011-11-19,We Found Love,Rihanna Featuring Calvin Harris
2011-11-12,We Found Love,Rihanna Featuring Calvin Harris
2011-11-05,Someone Like You,Adele
2011-10-29,Someone Like You,Adele
2011-10-22,Someone Like You,Adele
2011-10-15,Someone Like You,Adele
2011-10-08,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
2011-10-01,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
2011-09-24,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
2011-09-17,Someone Like You,Adele
2011-09-10,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
2011-09-03,Last Friday Night (T.G.I.F.),Katy Perry
2011-08-27,Last Friday Night (T.G.I.F.),Katy Perry
